"ADDA","19-Nov-2019","11","36","-10","-9","0"
"ADDC","19-Nov-2019","-8","5","-36","-25","0"
"ADDE","19-Nov-2019","521","521","-196","126","0"
"ADDN","19-Nov-2019","335","335","-326","-93","0"
"ADDQ","19-Nov-2019","607","830","106","519","0"
"ADDS","19-Nov-2019","68","112","-79","101","0"
"ADDT","19-Nov-2019","953","1053","-134","417","0"
"ADDU","19-Nov-2019","-27","44","-466","-417","0"
"ADDV","19-Nov-2019","-16","-16","-133","-113","0"
"ADDX","19-Nov-2019","44","44","-174","-37","0"
"ADRA","19-Nov-2019","1.16","1.52","0.9","0.91","0"
"ADRC","19-Nov-2019","0.87","1.06","0.7","0.8","0"
"ADRE","19-Nov-2019","2.25","2.25","0.8","1.12","0"
"ADRN","19-Nov-2019","1.44","1.44","0.7","0.9","0"
"ADRQ","19-Nov-2019","1.81","1.98","1.09","1.51","0"
"ADRS","19-Nov-2019","1.18","1.18","0.87","1.13","0"
"ADRT","19-Nov-2019","1.61","1.61","0.94","1.19","0"
"ADRU","19-Nov-2019","0.96","1.05","0.78","0.8","0"
"ADRV","19-Nov-2019","0.88","0.9","0.62","0.69","0"
"ADRX","19-Nov-2019","1.07","1.07","0.84","0.97","0"
"ADVA","19-Nov-2019","78","107","77","93","28482800"
"ADVC","19-Nov-2019","56","105","55","105","25826200"
"ADVE","19-Nov-2019","935","1182","796","1175","562686200"
"ADVN","19-Nov-2019","1080","1080","790","900","1396396000"
"ADVQ","19-Nov-2019","1352","1683","1204","1519","1033410000"
"ADVS","19-Nov-2019","436","863","429","863","178275700"
"ADVT","19-Nov-2019","2510","2852","2104","2512","2458289000"
"ADVU","19-Nov-2019","677","1774","677","1769","939552900"
"ADVV","19-Nov-2019","128","259","128","252","36723300"
"ADVX","19-Nov-2019","620","1220","620","1220","240825300"
"ASHD","19-Nov-2019","158","962","158","942","0"
"ASHF","19-Nov-2019","97","473","-179","94","0"
"ASHR","19-Nov-2019","1.61","2.19","0.81","1.09","0"
"ASHU","19-Nov-2019","255","1117","255","1036","0"
"AVDA","19-Nov-2019","-0.55","-0.55","-23.26","-16.49","0"
"AVDC","19-Nov-2019","-1.34","4.7","-4.3","-1.53","0"
"AVDE","19-Nov-2019","-1.88","112.19","-107.01","-39.2","0"
"AVDN","19-Nov-2019","-9.06","-9.06","-657.31","-654.56","0"
"AVDQ","19-Nov-2019","19.67","229.79","-45.89","187.19","0"
